monat,produkt,kostenstelle,plan_menge,ist_menge,plan_preis,ist_preis,variable_stueckkosten,fixkosten_produkt
2025-01,Headset Business,Vertrieb Ost,120,105.0,75.0,78.88,32.0,1600
2026-03,Tastatur Mechanisch,Vertrieb West,100,96.0,95.0,96.0,42.0,1800
2026-10,Monitor 32 Zoll Curved,Vertrieb West,24,28.0,480.0,474.44,270.0,5000
2026-12,Monitor 27 Zoll,Vertrieb Nord,60,66.0,280.0,266.9,160.0,4000
2025-10,Tastatur Mechanisch,Vertrieb Sued,100,91.0,95.0,95.69,42.0,1800
2026-11,Buerostuhl Ergonomic,Vertrieb Online,18,17.0,550.0,570.96,290.0,7000
2025-11,Maus Wireless,Vertrieb Ost,280,291.0,28.0,27.39,10.0,900
2025-07,Tastatur Mechanisch,Vertrieb Sued,100,105.0,95.0,91.56,42.0,1800
2025-06,Headset Business,Vertrieb Sued,120,110.0,75.0,79.06,32.0,1600
2026-07,Headset Business,Vertrieb West,120,113.0,75.0,77.47,32.0,1600
2026-01,Buerostuhl Ergonomic,Vertrieb West,18,15.0,550.0,568.3,290.0,7000
2026-02,Monitor 24 Zoll,Vertrieb Nord,70,,180.0,167.56,100.0,2500
2025-01,Maus Wireless,Vertrieb Ost,280,278.0,28.0,26.09,10.0,900
2025-12,Maus Wireless,Vertrieb Nord,280,,28.0,30.09,10.0,900
2025-03,Dockingstation USB-C,Vertrieb Online,76,67.0,140.0,141.41,65.0,2200
2026-05,Dockingstation USB-C,Vertrieb West,76,76.0,140.0,146.07,65.0,2200
2026-05,Dockingstation USB-C,Vertrieb Ost,76,81.0,140.0,139.06,65.0,2200
2026-11,Monitor 32 Zoll Curved,Vertrieb Sued,24,15.0,480.0,445.53,270.0,5000
2026-07,Schreibtisch Fix,Vertrieb Sued,40,38.0,220.0,226.01,110.0,3500
2025-12,Tastatur Wireless,Vertrieb Sued,240,226.0,45.0,45.82,18.0,1200
2025-10,Tastatur Mechanisch,Vertrieb Nord,100,118.0,95.0,96.71,42.0,1800
2026-03,Tastatur Mechanisch,Vertrieb Nord,100,115.0,95.0,99.6,42.0,1800
2025-09,Buerostuhl Basic,Vertrieb West,80,69.0,120.0,121.51,70.0,3000
2026-05,Tastatur Mechanisch,Vertrieb Online,100,105.0,95.0,95.37,42.0,1800
2026-12,Monitor 27 Zoll,Vertrieb Online,60,63.0,280.0,266.5,160.0,4000
2026-08,Schreibtisch Elektrisch,Vertrieb West,18,19.0,650.0,638.47,380.0,8000
2026-10,Schreibtischlampe LED,Vertrieb Sued,180,199.0,38.0,37.72,14.0,800
2026-01,Schreibtisch Elektrisch,Vertrieb Online,18,18.0,650.0,678.24,380.0,8000
2026-01,Buerostuhl Premium,Vertrieb Online,30,32.0,350.0,350.03,180.0,6000
2025-04,Schreibtischlampe LED,Vertrieb Nord,180,233.0,38.0,40.25,14.0,800
2025-01,Headset Business,Vertrieb West,120,113.0,75.0,71.8,32.0,1600
2025-01,Maus Wireless,Vertrieb West,280,288.0,28.0,27.97,10.0,900
2026-02,Buerostuhl Ergonomic,Vertrieb Ost,18,19.0,550.0,567.82,290.0,7000
2026-10,Buerostuhl Premium,Vertrieb West,30,30.0,350.0,372.78,180.0,6000
2026-02,Buerostuhl Ergonomic,Vertrieb West,18,20.0,550.0,567.32,290.0,7000
2026-07,Schreibtisch Fix,Vertrieb Nord,40,36.0,220.0,239.27,110.0,3500
2026-06,Schreibtischlampe LED,Vertrieb Sued,180,198.0,38.0,40.91,14.0,800
2025-10,Maus Wireless,Vertrieb Online,280,285.0,28.0,27.39,10.0,900
2026-11,Schreibtisch Fix,Vertrieb Sued,40,53.0,220.0,213.42,110.0,3500
2026-03,Buerostuhl Premium,Vertrieb Nord,30,26.0,350.0,379.44,180.0,6000
2026-09,Headset Business,Vertrieb Sued,120,99.0,75.0,77.29,32.0,1600
2025-02,Dockingstation USB-C,Vertrieb Nord,76,59.0,140.0,133.5,65.0,2200
2025-07,Buerostuhl Ergonomic,Vertrieb Sued,18,14.0,550.0,513.49,290.0,7000
2025-05,Webcam HD,Vertrieb Sued,140,135.0,55.0,57.68,22.0,1100
2026-03,Schreibtisch Elektrisch,Vertrieb Ost,18,21.0,650.0,677.26,380.0,8000
2025-06,Buerostuhl Ergonomic,Vertrieb Ost,18,21.0,550.0,547.97,290.0,7000
2025-11,Webcam HD,Vertrieb Ost,140,129.0,55.0,52.13,22.0,1100
2025-07,Dockingstation USB-C,Vertrieb West,76,63.0,140.0,145.01,65.0,2200
2025-08,Maus Wireless,Vertrieb Sued,280,282.0,28.0,28.46,10.0,900
2026-05,Buerostuhl Basic,Vertrieb Nord,80,82.0,120.0,121.24,70.0,3000
2026-02,Schreibtisch Elektrisch,Vertrieb West,18,16.0,650.0,677.77,380.0,8000
2026-09,Dockingstation USB-C,Vertrieb Sued,76,50.0,140.0,126.75,65.0,2200
2026-09,Tastatur Wireless,Vertrieb Ost,240,248.0,45.0,45.33,18.0,1200
2026-07,Monitor 32 Zoll Curved,Vertrieb Nord,24,25.0,480.0,437.56,270.0,5000
2026-04,Buerostuhl Premium,Vertrieb Sued,30,29.0,350.0,342.93,180.0,6000
2026-07,Webcam HD,Vertrieb Ost,140,139.0,55.0,52.66,22.0,1100
2025-06,Webcam HD,Vertrieb Online,140,141.0,55.0,53.79,22.0,1100
2026-11,Monitor 27 Zoll,Vertrieb Online,60,58.0,280.0,269.7,160.0,4000
2026-02,Headset Business,Vertrieb Nord,120,106.0,75.0,78.28,32.0,1600
2026-02,Headset Business,Vertrieb West,120,140.0,75.0,71.72,32.0,1600
2025-12,Schreibtischlampe LED,Vertrieb Sued,180,187.0,38.0,34.46,14.0,800
2026-11,Dockingstation USB-C,Vertrieb Nord,76,64.0,140.0,141.84,65.0,2200
2025-01,Webcam HD,Vertrieb West,140,158.0,55.0,58.83,22.0,1100
2025-03,Tastatur Mechanisch,Vertrieb West,100,94.0,95.0,91.61,42.0,1800
2026-09,Schreibtisch Fix,Vertrieb Online,40,39.0,220.0,202.31,110.0,3500
2025-05,Headset Business,Vertrieb Online,120,131.0,75.0,75.12,32.0,1600
